rec,id,ecl_time,line
rec_031,0200-1842,2025-12-13 19:30:00 +01,BL-80930
rec_031,0937-0646,2025-12-13 05:50:00 +01,BL-80930
rec_031,0919-0356,2025-12-11 18:30:00 +01,BL-80930
rec_031,1133-1504,2025-12-11 15:00:00 +01,BL-80930
rec_031,0310-2003,2025-12-11 11:30:00 +01,BL-80930
rec_031,0555-0463,2025-12-11 08:00:00 +01,BL-80930
rec_031,0529-2013,2025-12-11 02:20:00 +01,BL-80930
rec_031,0443-1620,2025-12-12 23:30:00 +01,BL-80930
rec_031,0444-1047,2025-12-10 20:10:00 +01,BL-80930
rec_031,0428-0170,2025-12-12 15:20:00 +01,BL-80930
rec_031,0566-1855,2025-12-11 09:50:00 +01,BL-80930
rec_031,0306-1335,2025-12-12 21:40:00 +01,BL-80930
rec_031,0936-1869,2025-12-12 00:00:00 +01,BL-80930
rec_031,1072-0153,NA,BL-80930
rec_031,0817-1058,2025-12-11 13:40:00 +01,BL-80930
rec_031,1089-0187,2025-12-12 14:20:00 +01,BL-80930
rec_031,0866-0634,2025-12-13 08:40:00 +01,BL-80930
rec_031,1033-0216,2025-12-12 19:30:00 +01,BL-80930
rec_031,0338-0288,2025-12-13 12:20:00 +01,BL-80930
rec_031,1098-0755,2025-12-11 14:20:00 +01,BL-80930
rec_031,1022-0198,2025-12-13 00:10:00 +01,BL-80930
rec_031,1054-0372,2025-12-12 10:20:00 +01,BL-80930
rec_031,0330-1210,2025-12-11 09:10:00 +01,BL-80930
rec_031,0465-1360,2025-12-11 15:00:00 +01,BL-80930
rec_031,0126-2107,2025-12-11 16:00:00 +01,BL-80930
rec_031,0552-0128,2025-12-11 02:20:00 +01,BL-80930
rec_031,0709-1518,2025-12-13 01:40:00 +01,BL-80930
rec_031,0931-0439,2025-12-13 10:20:00 +01,BL-80930
rec_031,0550-0418,2025-12-13 02:10:00 +01,BL-80930
rec_031,1159-0601,NA,BL-80930
rec_031,0501-1117,2025-12-12 05:40:00 +01,BL-80930
rec_031,1056-2134,2025-12-11 05:00:00 +01,BL-80930
rec_031,0300-0207,2025-12-11 11:10:00 +01,BL-80930
rec_031,1156-1590,2025-12-11 19:10:00 +01,BL-80930
rec_031,0467-1973,2025-12-11 04:30:00 +01,BL-80930
rec_031,0815-2047,2025-12-12 05:10:00 +01,BL-80930
rec_031,1154-0456,2025-12-12 12:40:00 +01,BL-80930
rec_031,0410-0702,2025-12-11 12:50:00 +01,BL-80930
rec_031,1108-1902,2025-12-11 04:10:00 +01,BL-80930
rec_031,1167-0955,2025-12-12 10:00:00 +01,BL-80930
rec_031,1139-0520,2025-12-12 09:10:00 +01,BL-80930
rec_031,0916-1809,2025-12-12 12:10:00 +01,BL-80930
rec_031,0781-1038,2025-12-11 11:00:00 +01,BL-80930
rec_031,0912-2115,2025-12-11 23:40:00 +01,BL-80930
rec_031,1138-1718,2025-12-11 09:20:00 +01,BL-80930
rec_031,0481-1914,2025-12-10 23:40:00 +01,BL-80930
rec_031,0528-0413,2025-12-12 00:50:00 +01,BL-80930
rec_031,0312-1403,2025-12-11 10:30:00 +01,BL-80930
rec_031,1017-1814,2025-12-12 12:40:00 +01,BL-80930
rec_031,0356-1832,2025-12-11 15:30:00 +01,BL-80930
